Name,Season,Hometown,#TimesPlayed,TwitterHandle,SeasonAge,Rank,Sex,ChallengeWins,VotesAgainst,DaysLasted,IdolsFound,IdolsPlayed,VotesVoided,BootAvoided,,,,,,,,,,,
J. P. Calderon,Cook Islands,"Marina Del Rey,CA",1,0,30,17,M,2,7,11,0,0,0,0,,,,,,,,,,,
Jacquie Berg,Gabon,"Santa Barbara,CA",1,1,25,15,F,3,5,12,0,0,0,0,,,,,,,,,,,
Jaime Dugan,China,"Columbia, SC",1,0,22,10,F,3,7,21,0,0,0,0,,,,,,,,,,,
Jaison Robinson,Samoa,"Chicago, IL",1,0,28,5,M,5,7,37,0,0,0,0,,,,,,,,,,,
"James ""J. T."" Thomas, Jr.",Tocantins,"Samson, AL",1,0,24,1,M,11,0,39,0,0,0,0,,,,,,,,,,,
"James ""J. T."" Thomas, Jr.",Heroes vs. Villains,"Samson, AL",2,0,25,10,M,7,5,27,1,0,0,0,,,,,,,,,,,
"James ""Rocky"" Reid",Fiji,"Los Angeles, CA",1,0,28,12,M,1,5,19,0,0,0,0,,,,,,,,,,,
James Clement,China,"Lafayette, LA",1,0,30,7,M,7,9,30,1,0,0,0,,,,,,,,,,,
James Clement,Micronesia,"Lafayette, LA",2,0,30,7,M,10,3,31,0,0,0,0,,,,,,,,,,,
James Clement,Heroes vs. Villains,"Lafayette, LA",3,0,32,14,M,2,7,15,0,0,0,0,,,,,,,,,,,
Jamie Newton,Guatemala,"North Hollywood,CA",1,0,24,8,M,5,10,27,0,0,0,0,,,,,,,,,,,
Jason Siska,Micronesia,"Fox River Grove,IL",1,0,22,8,M,10,8,30,1,0,0,0,,,,,,,,,,,
Jean-Robert Bellande,China,"Las Vegas, NV",1,1,36,9,M,8,12,24,0,0,0,0,,,,,,,,,,,
Jenny Guzon-Bae,Cook Islands,"Lake Forest, IL",1,1,36,10,F,5,6,24,0,0,0,0,,,,,,,,,,,
Jerri Manthey,Heroes vs. Villains,"Los Angeles, CA",3,1,38,4,F,10,9,38,0,0,0,0,,,,,,,,,,,
Jerry Sims,Tocantins,"Rock Hill, SC",1,0,49,14,M,1,6,9,0,0,0,0,,,,,,,,,,,
"Jessica ""Flicka"" Smith",Cook Islands,"Chico, CA",1,0,27,13,F,7,6,18,0,0,0,0,,,,,,,,,,,
"Jessica ""Sugar"" Kiper",Gabon,"Brooklyn, NY",1,1,29,3,F,5,0,39,1,0,0,0,,,,,,,,,,,
"Jessica ""Sugar"" Kiper",Heroes vs. Villains,"Brooklyn, NY",2,1,30,20,F,1,9,3,0,0,0,0,,,,,,,,,,,
Jessica deBen,Fiji,"Los Angeles, CA",1,1,27,19,F,0,6,3,0,0,0,0,,,,,,,,,,,
